epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,489.598,0.01353,2.41597,2.15214,6e-05,0.03704,3e-05,1e-05,0.02185,274924,815.867,0.0705769,0.00326923,0.00326923
2,988.152,0.01433,2.42189,2.25863,0.00304,0.56481,0.0032,0.00084,0.02333,20407.8,70.4707,0.0405753,0.00660095,0.00660095
3,1463.39,0.01379,2.30612,2.185,0.03094,0.2037,0.0182,0.00354,0.02275,67.9907,8.40999,0.0105672,0.00992619,0.00992619
4,1935.9,0.01349,2.2088,2.16076,0.00385,0.03704,0.0022,0.00073,0.02947,4.59744,6.24018,0.00997803,0.00997803,0.00997803
5,2418.03,0.01262,2.08409,2.05806,0.19164,0.19444,0.10889,0.04031,0.01415,9.28002,2.53158,0.00996097,0.00996097,0.00996097
6,2919.19,0.01235,2.02898,2.00113,0.23151,0.42593,0.23613,0.09609,0.01344,5.81409,2.49245,0.00993906,0.00993906,0.00993906
7,3415.03,0.01195,1.96166,1.97385,0.29718,0.26852,0.21538,0.08035,0.01366,3.61291,2.46156,0.00991232,0.00991232,0.00991232
8,3910.21,0.01217,2.00875,1.98874,0.32571,0.35185,0.28559,0.13185,0.01274,3.15235,2.32135,0.00988079,0.00988079,0.00988079
9,16175.9,0.01215,1.90161,1.96391,0.30039,0.37963,0.2219,0.08391,0.01459,4.60647,2.81915,0.00984449,0.00984449,0.00984449
10,16682.4,0.01203,1.93602,1.97025,0.36822,0.36111,0.28563,0.12211,0.01335,4.02883,2.50326,0.00980345,0.00980345,0.00980345
11,17229.4,0.01179,1.86823,1.93406,0.32878,0.37963,0.26754,0.11863,0.01328,4.61634,2.40248,0.00975773,0.00975773,0.00975773
